"Transportation type","Area from","Area to","Vehicle Type","Departure time",km,Duration,Note,Enabled,"Vehicle rack price","Vehicle net price","Adult rack price","Adult net price","Kid rack price","Kid net price",Tax,Addons,Extras,"Regular time range enabled","Range start Regular time range","Range end Regular time range","Rack price Regular time range","Net price Regular time range","Tax Regular time range","Flight pick-up time range enabled","Range start Flight pick-up time range","Range end Flight pick-up time range","Rack price Flight pick-up time range","Net price Flight pick-up time range","Tax Flight pick-up time range","Flight drop-off time range enabled","Range start Flight drop-off time range","Range end Flight drop-off time range","Rack price Flight drop-off time range","Net price Flight drop-off time range","Tax Flight drop-off time range"
"Private shuttles","Costa Rica Marriottt (belen)","Manuel Antonio | Quepos","Toyota HIACE",,156,3,,1,220,170,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Manuel Antonio | Quepos","Mercedes Sprinter",,156,3,,1,285,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Monteverde,"Toyota Coaster",,126,3,,1,390,290,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Monteverde,"Hyundai H-1",,126,3,,1,185,155,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Monteverde,"Toyota HIACE",,126,3,,1,230,180,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Monteverde,"Mercedes Sprinter",,126,3,,1,275,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Montezuma,"Toyota Coaster",,293,5,,1,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Montezuma,"Hyundai H-1",,293,5,,1,230,185,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Montezuma,"Toyota HIACE",,293,5,,1,275,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Montezuma,"Mercedes Sprinter",,293,5,,1,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Nosara,"Toyota Coaster",,237,5,,1,500,400,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Nosara,"Hyundai H-1",,237,5,,1,280,240,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Nosara,"Toyota HIACE",,237,5,,1,325,265,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Nosara,"Mercedes Sprinter",,237,5,,1,415,340,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Nuevo Arenal","Toyota Coaster",,189,3.5,,1,440,340,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Nuevo Arenal","Hyundai H-1",,189,3.5,,1,210,190,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Nuevo Arenal","Toyota HIACE",,189,3.5,,1,255,215,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Nuevo Arenal","Mercedes Sprinter",,189,3.5,,1,325,250,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Occidental Papagayo","Toyota Coaster",,229,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Occidental Papagayo","Hyundai H-1",,229,4,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Occidental Papagayo","Toyota HIACE",,229,4,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Occidental Papagayo","Mercedes Sprinter",,229,4,,1,375,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Ojochal,"Toyota Coaster",,223,4.5,,1,450,350,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Ojochal,"Hyundai H-1",,223,4.5,,1,245,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Ojochal,"Toyota HIACE",,223,4.5,,1,290,225,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Ojochal,"Mercedes Sprinter",,223,4.5,,1,355,280,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Ostional,"Toyota Coaster",,253,5,,1,500,400,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Ostional,"Hyundai H-1",,253,5,,1,285,245,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Ostional,"Toyota HIACE",,253,5,,1,330,270,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Ostional,"Mercedes Sprinter",,253,5,,1,405,330,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Papagayo,"Toyota Coaster",,225,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Papagayo,"Hyundai H-1",,225,4,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Papagayo,"Toyota HIACE",,225,4,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Papagayo,"Mercedes Sprinter",,225,4,,1,375,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Parrita,"Toyota Coaster",,128,2.5,,1,400,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Parrita,"Hyundai H-1",,128,2.5,,1,170,145,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Parrita,"Toyota HIACE",,128,2.5,,1,215,170,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Parrita,"Mercedes Sprinter",,128,2.5,,1,275,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Paso Canoas","Toyota Coaster",,341,7,,1,600,500,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Paso Canoas","Hyundai H-1",,341,7,,1,395,350,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Paso Canoas","Toyota HIACE",,341,7,,1,440,375,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Paso Canoas","Mercedes Sprinter",,341,7,,1,525,450,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Peace Lodge","Toyota Coaster",,36,1,,1,280,180,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Peace Lodge","Hyundai H-1",,36,1,,1,100,70,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Peace Lodge","Toyota HIACE",,36,1,,1,145,95,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Peace Lodge","Mercedes Sprinter",,36,1,,1,185,110,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Penas Blancas (Nicaragua Border)","Toyota Coaster",,274,6,,1,550,450,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Penas Blancas (Nicaragua Border)","Hyundai H-1",,274,6,,1,295,270,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Penas Blancas (Nicaragua Border)","Toyota HIACE",,274,6,,1,340,295,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Penas Blancas (Nicaragua Border)","Mercedes Sprinter",,274,6,,1,425,350,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Planet Hollywood Resort","Toyota Coaster",,239,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Planet Hollywood Resort","Hyundai H-1",,239,4,,1,260,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Planet Hollywood Resort","Toyota HIACE",,239,4,,1,305,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Planet Hollywood Resort","Mercedes Sprinter",,239,4,,1,385,310,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Avellanas, Guanacaste","Toyota Coaster",,245,4,,1,500,400,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Avellanas, Guanacaste","Hyundai H-1",,245,4,,1,280,245,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Avellanas, Guanacaste","Toyota HIACE",,245,4,,1,325,270,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Avellanas, Guanacaste","Mercedes Sprinter",,245,4,,1,395,320,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Azul, Guanacaste","Toyota Coaster",,259,4.5,,1,500,400,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Azul, Guanacaste","Hyundai H-1",,259,4.5,,1,285,250,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Azul, Guanacaste","Toyota HIACE",,259,4.5,,1,330,275,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Azul, Guanacaste","Mercedes Sprinter",,259,4.5,,1,405,330,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Brasilito, Guanacaste","Toyota Coaster",,259,4.5,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Brasilito, Guanacaste","Hyundai H-1",,259,4.5,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Brasilito, Guanacaste","Toyota HIACE",,259,4.5,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Brasilito, Guanacaste","Mercedes Sprinter",,259,4.5,,1,385,310,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Coyote","Toyota Coaster",,237,5.5,,1,500,400,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Coyote","Hyundai H-1",,237,5.5,,1,280,240,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Coyote","Toyota HIACE",,237,5.5,,1,325,265,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Coyote","Mercedes Sprinter",,237,5.5,,1,395,320,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa del Coco, Guanacaste","Toyota Coaster",,232,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa del Coco, Guanacaste","Hyundai H-1",,232,4,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa del Coco, Guanacaste","Toyota HIACE",,232,4,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa del Coco, Guanacaste","Mercedes Sprinter",,232,4,,1,375,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Flamingo, Guanacaste","Toyota Coaster",,262,4.5,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Flamingo, Guanacaste","Hyundai H-1",,262,4.5,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Flamingo, Guanacaste","Toyota HIACE",,262,4.5,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Flamingo, Guanacaste","Mercedes Sprinter",,262,4.5,,1,385,310,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Grande, Guanacaste","Toyota Coaster",,266,4.5,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Grande, Guanacaste","Hyundai H-1",,266,4.5,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Grande, Guanacaste","Toyota HIACE",,266,4.5,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Grande, Guanacaste","Mercedes Sprinter",,266,4.5,,1,375,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Guiones","Toyota Coaster",,243,5,,1,500,400,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Guiones","Hyundai H-1",,243,5,,1,285,245,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Guiones","Toyota HIACE",,243,5,,1,330,270,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Guiones","Mercedes Sprinter",,243,5,,1,405,330,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Hermosa, Guanacaste","Toyota Coaster",,231,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Hermosa, Guanacaste","Hyundai H-1",,231,4,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Hermosa, Guanacaste","Toyota HIACE",,231,4,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Hermosa, Guanacaste","Mercedes Sprinter",,231,4,,1,375,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Hermosa, Puntarenas","Toyota Coaster",,94,1.5,,1,310,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Hermosa, Puntarenas","Hyundai H-1",,94,1.5,,1,135,100,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Hermosa, Puntarenas","Toyota HIACE",,94,1.5,,1,180,125,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Hermosa, Puntarenas","Mercedes Sprinter",,94,1.5,,1,235,160,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Junquillal","Toyota Coaster",,243,4,,1,500,400,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Junquillal","Hyundai H-1",,243,4,,1,260,220,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Junquillal","Toyota HIACE",,243,4,,1,305,245,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Junquillal","Mercedes Sprinter",,243,4,,1,395,320,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Negra","Toyota Coaster",,246,4,,1,500,400,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Negra","Hyundai H-1",,246,4,,1,260,220,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Negra","Toyota HIACE",,246,4,,1,305,245,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Negra","Mercedes Sprinter",,246,4,,1,395,320,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Ocotal, Guanacaste","Toyota Coaster",,235,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Ocotal, Guanacaste","Hyundai H-1",,235,4,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Ocotal, Guanacaste","Toyota HIACE",,235,4,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Ocotal, Guanacaste","Mercedes Sprinter",,235,4,,1,375,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Panama, Guanacaste","Toyota Coaster",,226,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Panama, Guanacaste","Hyundai H-1",,226,4,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Panama, Guanacaste","Toyota HIACE",,226,4,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Panama, Guanacaste","Mercedes Sprinter",,226,4,,1,375,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Zancudo","Toyota Coaster",,360,6,,1,700,600,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Zancudo","Hyundai H-1",,360,6,,1,430,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Zancudo","Toyota HIACE",,360,6,,1,475,405,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Playa Zancudo","Mercedes Sprinter",,360,6,,1,575,500,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Poas Volcano","Toyota Coaster",,40,1,,1,280,180,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Poas Volcano","Hyundai H-1",,40,1,,1,100,70,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Poas Volcano","Toyota HIACE",,40,1,,1,145,95,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Poas Volcano","Mercedes Sprinter",,40,1,,1,205,130,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Potrero, Guanacaste","Toyota Coaster",,246,4.5,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Potrero, Guanacaste","Hyundai H-1",,246,4.5,,1,260,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Potrero, Guanacaste","Toyota HIACE",,246,4.5,,1,305,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Potrero, Guanacaste","Mercedes Sprinter",,246,4.5,,1,385,310,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puerto Caldera","Toyota Coaster",,70,1.5,,1,300,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puerto Caldera","Hyundai H-1",,70,1.5,,1,120,100,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puerto Caldera","Toyota HIACE",,70,1.5,,1,165,125,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puerto Caldera","Mercedes Sprinter",,70,1.5,,1,225,150,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puerto Jimenez","Toyota Coaster",,357,6,,1,650,550,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puerto Jimenez","Hyundai H-1",,357,6,,1,430,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puerto Jimenez","Toyota HIACE",,357,6,,1,475,405,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puerto Jimenez","Mercedes Sprinter",,357,6,,1,535,460,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puerto Viejo","Toyota Coaster",,231,4.5,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puerto Viejo","Hyundai H-1",,231,4.5,,1,245,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puerto Viejo","Toyota HIACE",,231,4.5,,1,290,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puerto Viejo","Mercedes Sprinter",,231,4.5,,1,385,310,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Punta Islita","Toyota Coaster",,227,5,,1,500,400,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Punta Islita","Hyundai H-1",,227,5,,1,280,250,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Punta Islita","Toyota HIACE",,227,5,,1,325,275,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Punta Islita","Mercedes Sprinter",,227,5,,1,395,320,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Punta Leona","Toyota Coaster",,86.8,1.5,,1,300,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Punta Leona","Hyundai H-1",,86.8,1.5,,1,120,100,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Punta Leona","Toyota HIACE",,86.8,1.5,,1,165,125,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Punta Leona","Mercedes Sprinter",,86.8,1.5,,1,225,150,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Punta Uva","Toyota Coaster",,240,4.5,,1,500,400,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Punta Uva","Hyundai H-1",,240,4.5,,1,245,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Punta Uva","Toyota HIACE",,240,4.5,,1,290,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Punta Uva","Mercedes Sprinter",,240,4.5,,1,385,310,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puntarenas Ferry","Toyota Coaster",,85,1.5,,1,300,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puntarenas Ferry","Hyundai H-1",,85,1.5,,1,120,100,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puntarenas Ferry","Toyota HIACE",,85,1.5,,1,165,125,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Puntarenas Ferry","Mercedes Sprinter",,85,1.5,,1,225,150,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Rincon de la Viejo","Toyota Coaster",,223,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Rincon de la Viejo","Hyundai H-1",,223,4,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Rincon de la Viejo","Toyota HIACE",,223,4,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Rincon de la Viejo","Mercedes Sprinter",,223,4,,1,385,310,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Rio Celeste","Toyota Coaster",,211,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Rio Celeste","Hyundai H-1",,211,4,,1,245,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Rio Celeste","Toyota HIACE",,211,4,,1,290,225,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Rio Celeste","Mercedes Sprinter",,211,4,,1,365,290,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Rio Perdido","Toyota Coaster",,196,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Rio Perdido","Hyundai H-1",,196,4,,1,240,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Rio Perdido","Toyota HIACE",,196,4,,1,285,225,,,,,0.08,,,,,,,,,,,,,,,,,,,,
